Sampling Technique,Model,Accuracy
Sampling1,M1,0.8879310344827587
Sampling1,M2,0.9827586206896551
Sampling1,M3,0.9741379310344828
Sampling1,M4,0.8275862068965517
Sampling1,M5,0.8362068965517241
Sampling2,M1,0.896551724137931
Sampling2,M2,1.0
Sampling2,M3,0.9913793103448276
Sampling2,M4,0.8793103448275862
Sampling2,M5,0.8362068965517241
Sampling3,M1,0.9310344827586207
Sampling3,M2,0.9741379310344828
Sampling3,M3,0.9568965517241379
Sampling3,M4,0.896551724137931
Sampling3,M5,0.9051724137931034
Sampling4,M1,0.8793103448275862
Sampling4,M2,0.9913793103448276
Sampling4,M3,0.9396551724137931
Sampling4,M4,0.7931034482758621
Sampling4,M5,0.8793103448275862
Sampling5,M1,0.9051724137931034
Sampling5,M2,0.9913793103448276
Sampling5,M3,0.9568965517241379
Sampling5,M4,0.8793103448275862
Sampling5,M5,0.8706896551724138
